,code,name
0,sh000852,中证1000
1,sz399376,小盘成长
2,sz399102,创业板综
3,sz399106,深证综指
4,sz399905,中证 500
5,sz399005,中小 100
6,sz399101,中小综指
7,sz399311,国证1000
8,sz399303,国证2000
9,sh000001,上证指数
10,sh000688,科创50
11,sh880802,QFII重仓
12,sz399001,深证成指
13,sh000016,上证50
14,sh000159,沪股通
15,sz399370,国证成长
16,sh880801,基金重仓
17,sh000300,沪深300
18,sh000011,基金指数
19,sz399004,深证100R
20,sz399006,创业板指
21,sz399372,大盘成长
22,sz399364,消费100
